относительная компактность,площадь поверхности,площадь сплошной стены,зона крыши,общая высота,ориентация,площадь сплошного остекления,распределение площади остекления,отопительная нагрузка
0.0016252339469369857,0.8532478221419174,0.4875701840810957,0.18283881903041088,0.011608813906692755,0.003316803973340787,0.0,0.0,0.02578815089272462
0.0016252227723615072,0.8532419554897913,0.48756683170845216,0.18283756189066958,0.01160873408829648,0.004975171752127063,0.0,0.0,0.025787973581858612
0.0016252071283430678,0.8532337423801105,0.4875621385029203,0.1828358019385951,0.011608622345307627,0.0066334984830329295,0.0,0.0,0.025787725352790513
0.0016251870152688642,0.8532231830161537,0.4875561045806593,0.18283353921774723,0.011608478680491887,0.008291770486065634,0.0,0.0,0.025787406211664123
0.0013654103151038302,0.8548985695122315,0.48320353928952214,0.18584751511135467,0.010619858006363125,0.003034245144675178,0.0,0.0,0.03161683440751536
0.0013653612505933944,0.8548678496770864,0.48318617590444013,0.18584083688632314,0.010619476393504178,0.004551204168644648,0.0,0.0,0.03255628048637138
0.0013653999466309052,0.8548920776961279,0.4831998700021592,0.1858461038469843,0.010619777362684818,0.006068444207248468,0.0,0.0,0.03141936988302894
0.0013654511772163355,0.8549241537348944,0.48321799993711423,0.1858530768988901,0.01062017582279372,0.007585839873424085,0.0,0.0,0.0298578657417972
0.0012760388456611168,0.8724544665682985,0.43622723328414925,0.21811361664207463,0.01038636269724165,0.0029675321992118997,0.0,0.0,0.028933438942316023
0.00127600688780801,0.8724326163152439,0.43621630815762197,0.21810815407881098,0.010386102575181477,0.004451186817934918,0.0,0.0,0.029600392339267204
0.001276030719058117,0.8724489102397358,0.4362244551198679,0.21811222755993395,0.010386296550473045,0.005935026600270312,0.0,0.0,0.028695853612306955
0.0012760725497692363,0.8724775107724546,0.4362387553862273,0.21811937769311365,0.010386637033005412,0.007419026452146722,0.0,0.0,0.027168474867761295
0.0011613381034712466,0.8674629126538275,0.45108071457999027,0.2081910990369186,0.009913861858900886,0.0028325319596859675,0.0,0.0,0.02414733495632287
0.001161317831501323,0.8674477704811712,0.45107284065020903,0.2081874649154811,0.0099136888054991,0.004248723773785329,0.0,0.0,0.024656760300534188
0.001161328087082801,0.8674554309002629,0.4510768240681367,0.2081893034160631,0.009913776353145862,0.005665015058940493,0.0,0.0,0.024005501312260338
